ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
3556634,HK637485,09/21/2004 06:00:00 AM,008XX N HARDING AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,false,true,1112,011,27,23,08B,1149903,1905315,2004,04/15/2016 08:55:02 AM,41.896096883,-87.72488546,"(41.896096883, -87.72488546)"
3556635,HK628438,09/16/2004 08:00:00 AM,017XX N CLARK ST,0890,THEFT,FROM BUILDING,PARKING LOT/GARAGE(NON.RESID.),false,false,1814,018,43,7,06,1174758,1912049,2004,04/15/2016 08:55:02 AM,41.914055338,-87.633396724,"(41.914055338, -87.633396724)"
3556636,HK640628,09/22/2004 11:00:00 AM,031XX S KEDVALE AVE,0820,THEFT,$500 AND UNDER,STREET,false,false,1031,010,22,30,06,1149212,1883550,2004,04/15/2016 08:55:02 AM,41.836384555,-87.727987073,"(41.836384555, -87.727987073)"
3556637,HK612307,09/09/2004 11:59:00 AM,054XX W WEST END AVE,2024,NARCOTICS,POSS: HEROIN(WHITE),STREET,true,false,1523,015,28,25,18,1139746,1900935,2004,04/15/2016 08:55:02 AM,41.884269219,-87.762297601,"(41.884269219, -87.762297601)"
3556638,HK642313,09/23/2004 08:00:00 AM,047XX N SACRAMENTO AVE,0820,THEFT,$500 AND UNDER,STREET,false,false,1713,017,33,14,06,1155522,1931321,2004,04/15/2016 08:55:02 AM,41.967348099,-87.703546296,"(41.967348099, -87.703546296)"
3556639,HK592240,08/30/2004 11:01:48 PM,011XX N MONTICELLO AVE,2027,NARCOTICS,POSS: CRACK,SIDEWALK,true,false,1112,011,27,23,18,1151835,1907307,2004,04/15/2016 08:55:02 AM,41.90152531,-87.717737068,"(41.90152531, -87.717737068)"
3556640,HK642269,09/22/2004 11:00:00 PM,014XX W ARGYLE ST,0610,BURGLARY,FORCIBLE ENTRY,RESIDENCE-GARAGE,false,false,2033,020,46,3,05,1165766,1933305,2004,04/15/2016 08:55:02 AM,41.972579462,-87.665823481,"(41.972579462, -87.665823481)"
3556641,HK638685,09/21/2004 04:15:00 PM,053XX S KEDZIE AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,SIDEWALK,false,true,0822,008,14,63,08B,1155958,1868886,2004,04/15/2016 08:55:02 AM,41.7960115,-87.703627606,"(41.7960115, -87.703627606)"
3556642,HK616112,09/11/2004 05:28:00 AM,003XX E 43RD ST,1345,CRIMINAL DAMAGE,TO CITY OF CHICAGO PROPERTY,CTA PLATFORM,false,false,0214,002,3,38,14,1178941,1876568,2004,04/15/2016 08:55:02 AM,41.816598679,-87.619113763,"(41.816598679, -87.619113763)"
3556643,HK641731,09/22/2004 11:20:00 PM,031XX S ASHLAND AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,true,false,0922,009,11,59,08B,1166170,1884202,2004,04/15/2016 08:55:02 AM,41.837828905,-87.665743111,"(41.837828905, -87.665743111)"
